Название вакансии,название компании,зарплата,ссылка на вакансию
Программист-аналитик,"ЛАМА, Группа компаний",Не указана,https://tomsk.hh.ru/vacancy/110191916?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle C# Developer,IQsоft,Не указана,https://tomsk.hh.ru/vacancy/107902304?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Python-разработчик (middle+,senior)",Galileo Labs,Не указана,https://tomsk.hh.ru/vacancy/109036929?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Backend Python (ML) + GO,Neo Stack Technology,Не указана,https://tomsk.hh.ru/vacancy/110338871?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java-разработчик,Galileo Labs,Не указана,https://tomsk.hh.ru/vacancy/109220879?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик Python,ПАО «Газпром нефть» ИТ,Не указана,https://tomsk.hh.ru/vacancy/110195472?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,ООО ГК БИТ,Не указана,https://tomsk.hh.ru/vacancy/110375363?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior+ Unity developer,InlyIT,Не указана,https://tomsk.hh.ru/vacancy/81332498?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java Game Developer (Математик),Siberteam,Не указана,https://tomsk.hh.ru/vacancy/110193273?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик PHP 1С-Битрикс в офис,ООО Красная рамка,Не указана,https://tomsk.hh.ru/vacancy/103702565?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный аналитик в IT (Стажер),ilink,Не указана,https://tomsk.hh.ru/vacancy/110267140?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Web-программист/разработчик (Yii2, Laravel)",ООО Центр Семейной Медицины,Не указана,https://tomsk.hh.ru/vacancy/108360002?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (PHP/Yii2),ООО Красная рамка,Не указана,https://tomsk.hh.ru/vacancy/103702533?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
C# разработчик (WPF),Антереал,Не указана,https://tomsk.hh.ru/vacancy/105285346?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET Разработчик,Т-Банк,Не указана,https://tomsk.hh.ru/vacancy/91309389?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Android-разработчик,АО ИнфоТеКС,Не указана,https://tomsk.hh.ru/vacancy/108497374?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
